FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,url,past_fights
Garrett Gross,"5' 9""",155 lbs.,--,Orthodox,"Aug 08, 1988",http://ufcstats.com/fighter-details/6741218640534d8b,"[{'wl': 'loss', 'opponent': 'Roosevelt Roberts', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '2:13'}]"
Kendall Grove,"6' 6""",185 lbs.,"79""",Orthodox,"Nov 12, 1982",http://ufcstats.com/fighter-details/234f3767ff0e5701,[]
Neil Grove,"6' 6""",265 lbs.,--,Orthodox,"Jan 18, 1971",http://ufcstats.com/fighter-details/36a432f22144843e,"[{'wl': 'loss', 'opponent': 'Mike Ciesnolevicz', 'method': 'SUB\n \n \n\n Heel Hook', 'round': '1', 'time': '1:03'}]"
Chris Gruetzemacher,"5' 8""",155 lbs.,"68""",Orthodox,"Jun 16, 1986",http://ufcstats.com/fighter-details/feaf00f3373435d6,"[{'wl': 'loss', 'opponent': 'Claudio Puelles', 'method': 'SUB\n \n \n\n Kneebar', 'round': '3', 'time': '3:25'}, {'wl': 'win', 'opponent': 'Rafa Garcia', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Alexander Hernandez', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:46'}, {'wl': 'win', 'opponent': 'Joe Lauzon', 'method': 'KO/TKO', 'round': '2', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Davi Ramos', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '3', 'time': '0:50'}, {'wl': 'loss', 'opponent': 'Chas Skelly', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '2:01'}, {'wl': 'win', 'opponent': 'Abner Lloveras', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Ryan Diaz', 'method': 'KO/TKO', 'round': '1', 'time': '5:00'}]"
Vik Grujic,"5' 11""",170 lbs.,"73""",Orthodox,"Feb 06, 1977",http://ufcstats.com/fighter-details/1e7483dbff40b84b,[]
Mike Grundy,"5' 7""",145 lbs.,"72""",Orthodox,"Jan 03, 1987",http://ufcstats.com/fighter-details/56fcb2c4d99f9d1b,"[{'wl': 'loss', 'opponent': 'Makwan Amirkhani', 'method': 'SUB\n \n \n\n Anaconda Choke', 'round': '1', 'time': '0:57'}, {'wl': 'loss', 'opponent': 'Lando Vannata', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Movsar Evloev', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Nad Narimani', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '4:42'}]"
Wang Guan,"5' 9""",145 lbs.,"71""",Orthodox,"Mar 14, 1986",http://ufcstats.com/fighter-details/dd12382f28296f7b,"[{'wl': 'win', 'opponent': 'Alex Caceres', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Nandor Guelmino,"6' 3""",230 lbs.,--,,"Dec 20, 1975",http://ufcstats.com/fighter-details/1abfb658cd4f8533,"[{'wl': 'loss', 'opponent': 'Daniel Omielanczuk', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '3', 'time': '3:18'}, {'wl': 'loss', 'opponent': 'Josh Barnett', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '1', 'time': '2:11'}]"
Fabricio Guerreiro,"5' 10""",145 lbs.,--,,"Jul 24, 1990",http://ufcstats.com/fighter-details/2963369e327e1979,[]
Shannon Gugerty,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 30, 1981",http://ufcstats.com/fighter-details/9f1641c08cf8fbe2,"[{'wl': 'loss', 'opponent': 'Clay Guida', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '2', 'time': '3:40'}, {'wl': 'loss', 'opponent': 'Terry Etim', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '2', 'time': '1:24'}, {'wl': 'win', 'opponent': 'Matt Grice', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '2:36'}, {'wl': 'loss', 'opponent': 'Spencer Fisher', 'method': 'SUB\n \n \n\n Triangle Choke', 'round': '3', 'time': '3:56'}, {'wl': 'win', 'opponent': 'Dale Hartt', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '3:33'}]"
Clay Guida,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981",http://ufcstats.com/fighter-details/c47df9303d318c67,"[{'wl': 'loss', 'opponent': 'Joaquim Silva', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Rafa Garcia', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Scott Holtzman', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Claudio Puelles', 'method': 'SUB\n \n \n\n Kneebar', 'round': '1', 'time': '3:01'}, {'wl': 'win', 'opponent': 'Leonardo Santos', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '2', 'time': '1:21'}, {'wl': 'loss', 'opponent': 'Mark Madsen', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Michael Johnson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Bobby Green', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Jim Miller', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '0:58'}, {'wl': 'win', 'opponent': 'BJ Penn', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Charles Oliveira', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '2:18'}, {'wl': 'win', 'opponent': 'Joe Lauzon', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '1:07'}, {'wl': 'win', 'opponent': 'Erik Koch', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Brian Ortega', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '3', 'time': '4:40'}, {'wl': 'loss', 'opponent': 'Thiago Tavares', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '0:39'}, {'wl': 'win', 'opponent': 'Robert Peralta', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Dennis Bermudez', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '2:57'}, {'wl': 'win', 'opponent': 'Tatsuya Kawajiri', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Chad Mendes', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '3', 'time': '0:30'}, {'wl': 'win', 'opponent': 'Hatsu Hioki', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Gray Maynard', 'method': 'S-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Benson Henderson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Anthony Pettis', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Takanori Gomi', 'method': 'SUB\n \n\n\n Guillotine Choke', 'round': '2', 'time': '4:27'}, {'wl': 'win', 'opponent': 'Rafael Dos Anjos', 'method': 'SUB\n \n \n\n Injury', 'round': '3', 'time': '1:51'}, {'wl': 'win', 'opponent': 'Shannon Gugerty', 'method': 'SUB\n \n\n\n Arm Triangle', 'round': '2', 'time': '3:40'}, {'wl': 'loss', 'opponent': 'Kenny Florian', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '2:19'}, {'wl': 'loss', 'opponent': 'Diego Sanchez', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Nate Diaz', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Mac Danzig', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Samy Schiavo', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '4:15'}, {'wl': 'loss', 'opponent': 'Roger Huerta', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '3', 'time': '0:51'}, {'wl': 'win', 'opponent': 'Marcus Aurelio', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Tyson Griffin', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Din Thomas', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Justin James', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '2', 'time': '4:42'}, {'wl': 'win', 'opponent': 'Joe Martin', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Gilbert Melendez', 'method': 'S-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Josh Thomson', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}]"
Jason Guida,"5' 10""",214 lbs.,--,,"Aug 04, 1977",http://ufcstats.com/fighter-details/ce25b4ed82b1811b,"[{'wl': 'loss', 'opponent': 'Alex Stiebling', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Melvin Guillard,"5' 9""",155 lbs.,"71""",Orthodox,"Mar 30, 1983",http://ufcstats.com/fighter-details/ccd1299e0345e0ce,"[{'wl': 'loss', 'opponent': 'Michael Johnson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'nc', 'opponent': 'Ross Pearson', 'method': 'CNC', 'round': '1', 'time': '1:57'}, {'wl': 'win', 'opponent': 'Mac Danzig', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '2', 'time': '2:47'}, {'wl': 'loss', 'opponent': 'Jamie Varner', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Donald Cerrone', 'method': 'KO/TKO\n \n\n\n Kick', 'round': '1', 'time': '1:16'}, {'wl': 'win', 'opponent': 'Fabricio Camoes', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Jim Miller', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '3:04'}, {'wl': 'loss', 'opponent': 'Joe Lauzon', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '0:47'}, {'wl': 'win', 'opponent': 'Shane Roller', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '2:12'}, {'wl': 'win', 'opponent': 'Evan Dunham', 'method': 'KO/TKO\n \n\n\n Knees', 'round': '1', 'time': '2:58'}, {'wl': 'win', 'opponent': 'Jeremy Stephens', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Waylon Lowe', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '1', 'time': '3:28'}, {'wl': 'win', 'opponent': 'Ronys Torres', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Nate Diaz', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '2', 'time': '2:13'}, {'wl': 'win', 'opponent': 'Gleison Tibau', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Dennis Siver', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '1', 'time': '0:36'}, {'wl': 'loss', 'opponent': 'Rich Clementi', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '4:40'}, {'wl': 'loss', 'opponent': 'Joe Stevenson', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '0:27'}, {'wl': 'win', 'opponent': 'Gabe Ruediger', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '1:01'}, {'wl': 'win', 'opponent': 'Rick Davis', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '1:37'}, {'wl': 'loss', 'opponent': 'Josh Neer', 'method': 'SUB\n \n\n\n Triangle Choke', 'round': '1', 'time': '4:20'}, {'wl': 'win', 'opponent': 'Marcus Davis', 'method': 'KO/TKO', 'round': '2', 'time': '2:55'}]"
Chris Guillen,"6' 0""",240 lbs.,--,Orthodox,"Dec 09, 1972",http://ufcstats.com/fighter-details/da0f33e4255f99eb,"[{'wl': 'loss', 'opponent': 'Ben Rothwell', 'method': 'KO/TKO\n \n \n\n Elbows', 'round': '1', 'time': '3:40'}]"
Marcelo Guimaraes,"6' 0""",185 lbs.,"73""",Orthodox,"Jun 25, 1983",http://ufcstats.com/fighter-details/0c9c0a43d3f3f49d,"[{'wl': 'loss', 'opponent': 'Vitor Miranda', 'method': 'KO/TKO\n \n \n\n Kick', 'round': '2', 'time': '1:09'}, {'wl': 'win', 'opponent': 'Andy Enz', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Hyun Gyu Lim', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '2', 'time': '4:00'}, {'wl': 'win', 'opponent': 'Dan Stittgen', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Leonardo Guimaraes,"6' 0""",185 lbs.,--,Orthodox,"Apr 15, 1982",http://ufcstats.com/fighter-details/cc98d857b148e33a,"[{'wl': 'loss', 'opponent': 'Antonio Carlos Junior', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '3', 'time': '4:46'}, {'wl': 'loss', 'opponent': 'Anthony Smith', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Brad Gumm,"5' 11""",170 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/4d74641fac830182,"[{'wl': 'draw', 'opponent': 'CJ Fernandes', 'method': 'U-DEC', 'round': '2', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Shonie Carter', 'method': 'U-DEC', 'round': '2', 'time': '5:00'}]"
John Gunderson,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 05, 1979",http://ufcstats.com/fighter-details/a0c139b34f11421a,"[{'wl': 'loss', 'opponent': 'Yves Edwards', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Mark Holst', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Rafaello Oliveira', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
John Gunther,"5' 9""",155 lbs.,"72""",Orthodox,"Nov 24, 1985",http://ufcstats.com/fighter-details/3956bdc8ab2e54b3,"[{'wl': 'loss', 'opponent': 'Davi Ramos', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '1:57'}, {'wl': 'win', 'opponent': 'Allan Zuniga', 'method': 'M-DEC', 'round': '3', 'time': '5:00'}]"
Jorge Gurgel,"5' 7""",155 lbs.,"69""",Orthodox,"Jan 25, 1977",http://ufcstats.com/fighter-details/04d5718ed2661e8c,"[{'wl': 'loss', 'opponent': 'Adriano Martins', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Joe Duarte', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Billy Vaughan', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '0:44'}, {'wl': 'loss', 'opponent': 'KJ Noons', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '0:19'}, {'wl': 'loss', 'opponent': 'Billy Evangelista', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Conor Heun', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Aaron Riley', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Cole Miller', 'method': 'SUB\n \n \n\n Triangle Choke', 'round': '3', 'time': '4:48'}, {'wl': 'win', 'opponent': 'John Halverson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Alvin Robinson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Diego Saraiva', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Danny Abbadi', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Mark Hominick', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Fabio Gurgel,"6' 0""",205 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/8377c5572cb356f3,"[{'wl': 'loss', 'opponent': 'Jerry Bohlander', 'method': 'U-DEC', 'round': '1', 'time': '15:00'}]"
Andre Gusmao,"6' 0""",205 lbs.,--,Orthodox,"May 19, 1977",http://ufcstats.com/fighter-details/cc300e9aa3063431,"[{'wl': 'loss', 'opponent': 'Krzysztof Soszynski', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '3:17'}, {'wl': 'loss', 'opponent': 'Jon Jones', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Alexander Gustafsson,"6' 5""",205 lbs.,"79""",Orthodox,"Jan 15, 1987",http://ufcstats.com/fighter-details/3c6976f8182d9527,"[{'wl': 'loss', 'opponent': 'Nikita Krylov', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '1:07'}, {'wl': 'loss', 'opponent': 'Fabricio Werdum', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '2:30'}, {'wl': 'loss', 'opponent': 'Anthony Smith', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '4', 'time': '2:38'}, {'wl': 'loss', 'opponent': 'Jon Jones', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '2:02'}, {'wl': 'win', 'opponent': 'Glover Teixeira', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '5', 'time': '1:07'}, {'wl': 'win', 'opponent': 'Jan Blachowicz', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Daniel Cormier', 'method': 'S-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Anthony Johnson', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '2:15'}, {'wl': 'win', 'opponent': 'Jimi Manuwa', 'method': 'KO/TKO\n \n\n\n Knee', 'round': '2', 'time': '1:18'}, {'wl': 'loss', 'opponent': 'Jon Jones', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Mauricio Rua', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Thiago Silva', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Vladimir Matyushenko', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '2:13'}, {'wl': 'win', 'opponent': 'Matt Hamill', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '3:34'}, {'wl': 'win', 'opponent': 'James Te Huna', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '4:27'}, {'wl': 'win', 'opponent': 'Cyrille Diabate', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '2:41'}, {'wl': 'loss', 'opponent': 'Phil Davis', 'method': 'SUB\n \n \n\n Anaconda Choke', 'round': '1', 'time': '4:55'}, {'wl': 'win', 'opponent': 'Jared Hamman', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:41'}]"
Justin Guthrie,"6' 1""",170 lbs.,--,,"Jan 19, 1981",http://ufcstats.com/fighter-details/a789defa9086da46,[]
Horacio Gutierrez,"5' 10""",145 lbs.,--,,"Sep 15, 1990",http://ufcstats.com/fighter-details/cd85b48dc880fabd,"[{'wl': 'loss', 'opponent': 'Teruto Ishihara', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '2:32'}, {'wl': 'loss', 'opponent': 'Enrique Barzola', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Chris Gutierrez,"5' 9""",145 lbs.,"67""",Orthodox,"Apr 22, 1991",http://ufcstats.com/fighter-details/45f0cc9d18f35137,"[{'wl': 'loss', 'opponent': 'Song Yadong', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Alatengheili', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Pedro Munhoz', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Frankie Edgar', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '1', 'time': '2:01'}, {'wl': 'win', 'opponent': 'Batgerel Danaa', 'method': 'KO/TKO\n \n\n\n Spinning Back Fist', 'round': '2', 'time': '2:34'}, {'wl': 'win', 'opponent': 'Felipe Colares', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Andre Ewell', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'draw', 'opponent': 'Cody Durden', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Vince Morales', 'method': 'KO/TKO\n \n \n\n Kick', 'round': '2', 'time': '4:27'}, {'wl': 'win', 'opponent': 'Geraldo de Freitas', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Ryan MacDonald', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Raoni Barcelos', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '4:12'}]"
Mike Guymon,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 17, 1974",http://ufcstats.com/fighter-details/eaea0fc7b76525a8,"[{'wl': 'loss', 'opponent': 'DaMarques Johnson', 'method': 'SUB\n \n \n\n Injury', 'round': '1', 'time': '3:22'}, {'wl': 'loss', 'opponent': 'Daniel Roberts', 'method': 'SUB\n \n \n\n Anaconda Choke', 'round': '1', 'time': '1:13'}, {'wl': 'win', 'opponent': 'Yoshiyuki Yoshida', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Rory MacDonald', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '4:27'}]"
Chelsea Hackett,"5' 4""",125 lbs.,"66""",Switch,"Aug 16, 1998",http://ufcstats.com/fighter-details/184b7a36d50dcc5e,"[{'wl': 'loss', 'opponent': 'Victoria Leonardo', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '4:41'}]"
Keith Hackney,"5' 11""",200 lbs.,--,Sideways,--,http://ufcstats.com/fighter-details/bf12aca029bfcc47,"[{'wl': 'loss', 'opponent': 'Marco Ruas', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '2:39'}, {'wl': 'loss', 'opponent': 'Royce Gracie', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '5:32'}, {'wl': 'win', 'opponent': 'Joe Son', 'method': 'SUB\n \n \n\n Other - Choke', 'round': '1', 'time': '2:44'}, {'wl': 'win', 'opponent': 'Emmanuel Yarborough', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:59'}]"
Jake Hadley,"5' 7""",125 lbs.,"70""",Southpaw,"Aug 03, 1996",http://ufcstats.com/fighter-details/60a42bf82447c919,"[{'wl': 'loss', 'opponent': 'Charles Johnson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Cody Durden', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Malcolm Gordon', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '1', 'time': '1:01'}, {'wl': 'win', 'opponent': 'Carlos Candelario', 'method': 'SUB\n \n \n\n Triangle Choke', 'round': '2', 'time': '2:39'}, {'wl': 'loss', 'opponent': 'Allan Nascimento', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Mitch Raposo', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '3:11'}]"
Steve Hadsel,"5' 8""",170 lbs.,--,,--,http://ufcstats.com/fighter-details/99793cf88c5adeee,"[{'wl': 'win', 'opponent': 'Taylor Roberts', 'method': 'KO/TKO', 'round': '1', 'time': '0:17'}]"
Damir Hadzovic,"5' 9""",155 lbs.,"70""",Orthodox,"Aug 08, 1986",http://ufcstats.com/fighter-details/38c626ca912c7bac,"[{'wl': 'loss', 'opponent': 'Marc Diakiese', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Yancy Medeiros', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Renato Moicano', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '0:44'}, {'wl': 'loss', 'opponent': 'Christos Giagos', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Marco Polo Reyes', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '2:03'}, {'wl': 'win', 'opponent': 'Nick Hein', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Alan Patrick', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Marcin Held', 'method': 'KO/TKO\n \n\n\n Knee', 'round': '3', 'time': '0:07'}, {'wl': 'loss', 'opponent': 'Mairbek Taisumov', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '3:44'}]"
Tim Hague,"6' 4""",260 lbs.,"76""",Orthodox,"May 09, 1983",http://ufcstats.com/fighter-details/219a254e15d60135,"[{'wl': 'loss', 'opponent': 'Matt Mitrione', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '2:59'}, {'wl': 'loss', 'opponent': 'Joey Beltran', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Chris Tuchscherer', 'method': 'M-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Todd Duffee', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:07'}, {'wl': 'win', 'opponent': 'Pat Barry', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '1:42'}]"
Yazan Hajeh,"5' 9""",145 lbs.,--,Orthodox,"Sep 04, 1992",http://ufcstats.com/fighter-details/4955c524c2a71469,"[{'wl': 'loss', 'opponent': 'Matt Sayles', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:57'}]"
Stoney Hale,"6' 0""",--,--,,"Oct 18, 1979",http://ufcstats.com/fighter-details/206a7d47eb62170e,"[{'wl': 'win', 'opponent': 'Gerric Hayes', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Kevin Haley,"6' 2""",205 lbs.,--,,--,http://ufcstats.com/fighter-details/439d4bbefd4e6940,[]
